brand,name,price,category,colors,image_url,description,materials
Nike,Air Max 90 Sustainable,140,lifestyle,White/Green,https://via.placeholder.com/400x400/F5F5F0/2D5A27?text=Nike+Sustainable,Sneaker lifestyle avec matériaux recyclés,"Matériaux recyclés, Cuir synthétique"
Adidas,Ultraboost 22 Ocean,180,performance,Blue/White,https://via.placeholder.com/400x400/4682B4/FFFFFF?text=Adidas+Ocean,Chaussure de running avec plastique océanique,"Ocean Plastic, Caoutchouc recyclé"
Allbirds,Tree Runners,98,sustainable,Natural/Brown,https://via.placeholder.com/400x400/8B4513/F5F5F0?text=Allbirds+Tree,Sneakers en fibres d'eucalyptus,"Fibre d'eucalyptus, Laine mérinos"
Puma,RS-X Ocean,104,limited,Ocean Blue/Stone White,https://via.placeholder.com/400x400/4682B4/F5F5F0?text=Puma+RS-X,Sneaker limited avec approche écoresponsable,"Cuir Apple, Déchets plastiques"
Vans,Slip-On Sustainable,112,performance,Terra Green/Earth Brown,https://via.placeholder.com/400x400/2D5A27/8B4513?text=Vans+Slip-On,Sneaker performance avec approche écoresponsable,"Liège, Cuir Apple"
Veja,Court Recycled,247,performance,Ocean Blue/Desert Sand,https://via.placeholder.com/400x400/4682B4/EDC9AF?text=Veja+Court,Sneaker performance avec approche écoresponsable,"Chanvre, Déchets plastiques"
Veja,Court Sustainable,248,performance,Desert Sand/Clay Orange,https://via.placeholder.com/400x400/EDC9AF/D4725B?text=Veja+Court,Sneaker performance avec approche écoresponsable,"Chanvre, Matériaux recyclés"
Puma,Thunder Natural,213,performance,Terra Green/Urban Black,https://via.placeholder.com/400x400/2D5A27/1A1A1A?text=Puma+Thunder,Sneaker performance avec approche écoresponsable,"Liège, Cuir Apple"
Veja,Court Recycled,115,lifestyle,Urban Black/Stone White,https://via.placeholder.com/400x400/1A1A1A/F5F5F0?text=Veja+Court,Sneaker lifestyle avec approche écoresponsable,"Chanvre, Algues marines"
Nike,Blazer Recycled,103,lifestyle,Clay Orange/Terra Green,https://via.placeholder.com/400x400/D4725B/2D5A27?text=Nike+Blazer,Sneaker lifestyle avec approche écoresponsable,"Cuir Apple, Ocean Plastic"
Veja,Court Bio,92,limited,Stone White/Terra Green,https://via.placeholder.com/400x400/F5F5F0/2D5A27?text=Veja+Court,Sneaker limited avec approche écoresponsable,"Cuir Apple, Caoutchouc naturel"
Nike,Air Force Ocean,127,sustainable,Stone White/Terra Green,https://via.placeholder.com/400x400/F5F5F0/2D5A27?text=Nike+Air Force,Sneaker sustainable avec approche écoresponsable,"Chanvre, Caoutchouc naturel"
Adidas,NMD Bio,93,limited,Ocean Blue/Desert Sand,https://via.placeholder.com/400x400/4682B4/EDC9AF?text=Adidas+NMD,Sneaker limited avec approche écoresponsable,"Cuir Apple, Caoutchouc naturel"
Adidas,Stan Smith Sustainable,90,sustainable,Terra Green/Clay Orange,https://via.placeholder.com/400x400/2D5A27/D4725B?text=Adidas+Stan Smith,Sneaker sustainable avec approche écoresponsable,"Cuir Apple, Coton bio"
Reebok,Runner Recycled,92,performance,Terra Green/Urban Black,https://via.placeholder.com/400x400/2D5A27/1A1A1A?text=Reebok+Runner,Sneaker performance avec approche écoresponsable,"Coton bio, Déchets plastiques"
Allbirds,Runner Recycled,202,performance,Desert Sand/Sage Green,https://via.placeholder.com/400x400/EDC9AF/9CAF88?text=Allbirds+Runner,Sneaker performance avec approche écoresponsable,"Caoutchouc naturel, Algues marines"
Converse,Runner Bio,216,performance,Stone White/Earth Brown,https://via.placeholder.com/400x400/F5F5F0/8B4513?text=Converse+Runner,Sneaker performance avec approche écoresponsable,"Caoutchouc naturel, Coton bio"
Veja,Classic Ocean,155,lifestyle,Urban Black/Urban Black,https://via.placeholder.com/400x400/1A1A1A/1A1A1A?text=Veja+Classic,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Liège"
New Balance,574 Ocean,111,lifestyle,Ocean Blue/Stone White,https://via.placeholder.com/400x400/4682B4/F5F5F0?text=New Balance+574,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Coton bio"
New Balance,574 Ocean,144,performance,Stone White/Ocean Blue,https://via.placeholder.com/400x400/F5F5F0/4682B4?text=New Balance+574,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Coton bio"
Puma,Clyde Sustainable,124,lifestyle,Clay Orange/Ocean Blue,https://via.placeholder.com/400x400/D4725B/4682B4?text=Puma+Clyde,Sneaker lifestyle avec approche écoresponsable,"Matériaux recyclés, Cuir Apple"
Converse,Court Bio,86,performance,Ocean Blue/Desert Sand,https://via.placeholder.com/400x400/4682B4/EDC9AF?text=Converse+Court,Sneaker performance avec approche écoresponsable,"Algues marines, Caoutchouc naturel"
Reebok,Court Natural,245,sustainable,Terra Green/Terra Green,https://via.placeholder.com/400x400/2D5A27/2D5A27?text=Reebok+Court,Sneaker sustainable avec approche écoresponsable,"Algues marines, Déchets plastiques"
Allbirds,Runner Eco,193,performance,Sage Green/Earth Brown,https://via.placeholder.com/400x400/9CAF88/8B4513?text=Allbirds+Runner,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Liège"
Adidas,Superstar Natural,133,performance,Stone White/Earth Brown,https://via.placeholder.com/400x400/F5F5F0/8B4513?text=Adidas+Superstar,Sneaker performance avec approche écoresponsable,"Liège, Ocean Plastic"
Puma,Suede Ocean,242,limited,Desert Sand/Earth Brown,https://via.placeholder.com/400x400/EDC9AF/8B4513?text=Puma+Suede,Sneaker limited avec approche écoresponsable,"Cuir Apple, Déchets plastiques"
Converse,Court Bio,152,limited,Urban Black/Clay Orange,https://via.placeholder.com/400x400/1A1A1A/D4725B?text=Converse+Court,Sneaker limited avec approche écoresponsable,"Chanvre, Caoutchouc naturel"
Nike,Blazer Ocean,153,lifestyle,Sage Green/Terra Green,https://via.placeholder.com/400x400/9CAF88/2D5A27?text=Nike+Blazer,Sneaker lifestyle avec approche écoresponsable,"Coton bio, Ocean Plastic"
Veja,Runner Bio,105,limited,Terra Green/Earth Brown,https://via.placeholder.com/400x400/2D5A27/8B4513?text=Veja+Runner,Sneaker limited avec approche écoresponsable,"Ocean Plastic, Déchets plastiques"
Veja,Classic Bio,247,limited,Clay Orange/Urban Black,https://via.placeholder.com/400x400/D4725B/1A1A1A?text=Veja+Classic,Sneaker limited avec approche écoresponsable,"Ocean Plastic, Liège"
New Balance,2002R Natural,164,lifestyle,Clay Orange/Clay Orange,https://via.placeholder.com/400x400/D4725B/D4725B?text=New Balance+2002R,Sneaker lifestyle avec approche écoresponsable,"Liège, Déchets plastiques"
New Balance,990 Bio,214,lifestyle,Clay Orange/Desert Sand,https://via.placeholder.com/400x400/D4725B/EDC9AF?text=New Balance+990,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Matériaux recyclés"
Converse,Classic Eco,198,performance,Terra Green/Sage Green,https://via.placeholder.com/400x400/2D5A27/9CAF88?text=Converse+Classic,Sneaker performance avec approche écoresponsable,"Caoutchouc naturel, Algues marines"
Vans,Authentic Bio,169,lifestyle,Stone White/Clay Orange,https://via.placeholder.com/400x400/F5F5F0/D4725B?text=Vans+Authentic,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Matériaux recyclés"
Veja,Classic Recycled,206,limited,Desert Sand/Earth Brown,https://via.placeholder.com/400x400/EDC9AF/8B4513?text=Veja+Classic,Sneaker limited avec approche écoresponsable,"Coton bio, Coton bio"
Converse,Classic Bio,195,sustainable,Desert Sand/Sage Green,https://via.placeholder.com/400x400/EDC9AF/9CAF88?text=Converse+Classic,Sneaker sustainable avec approche écoresponsable,"Algues marines, Déchets plastiques"
Puma,Clyde Recycled,180,performance,Ocean Blue/Urban Black,https://via.placeholder.com/400x400/4682B4/1A1A1A?text=Puma+Clyde,Sneaker performance avec approche écoresponsable,"Algues marines, Cuir Apple"
Vans,Old Skool Bio,216,sustainable,Ocean Blue/Urban Black,https://via.placeholder.com/400x400/4682B4/1A1A1A?text=Vans+Old Skool,Sneaker sustainable avec approche écoresponsable,"Cuir Apple, Ocean Plastic"
Puma,Clyde Eco,180,limited,Desert Sand/Ocean Blue,https://via.placeholder.com/400x400/EDC9AF/4682B4?text=Puma+Clyde,Sneaker limited avec approche écoresponsable,"Ocean Plastic, Déchets plastiques"
Reebok,Court Sustainable,95,sustainable,Ocean Blue/Terra Green,https://via.placeholder.com/400x400/4682B4/2D5A27?text=Reebok+Court,Sneaker sustainable avec approche écoresponsable,"Ocean Plastic, Chanvre"
Puma,Clyde Ocean,202,lifestyle,Stone White/Sage Green,https://via.placeholder.com/400x400/F5F5F0/9CAF88?text=Puma+Clyde,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Ocean Plastic"
Converse,Court Recycled,148,lifestyle,Ocean Blue/Ocean Blue,https://via.placeholder.com/400x400/4682B4/4682B4?text=Converse+Court,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Cuir Apple"
Converse,Classic Eco,218,lifestyle,Ocean Blue/Stone White,https://via.placeholder.com/400x400/4682B4/F5F5F0?text=Converse+Classic,Sneaker lifestyle avec approche écoresponsable,"Matériaux recyclés, Ocean Plastic"
Reebok,Court Natural,153,limited,Stone White/Desert Sand,https://via.placeholder.com/400x400/F5F5F0/EDC9AF?text=Reebok+Court,Sneaker limited avec approche écoresponsable,"Matériaux recyclés, Chanvre"
New Balance,990 Bio,192,performance,Sage Green/Terra Green,https://via.placeholder.com/400x400/9CAF88/2D5A27?text=New Balance+990,Sneaker performance avec approche écoresponsable,"Chanvre, Caoutchouc naturel"
Veja,Court Bio,166,limited,Earth Brown/Stone White,https://via.placeholder.com/400x400/8B4513/F5F5F0?text=Veja+Court,Sneaker limited avec approche écoresponsable,"Liège, Cuir Apple"
Reebok,Court Sustainable,227,limited,Clay Orange/Earth Brown,https://via.placeholder.com/400x400/D4725B/8B4513?text=Reebok+Court,Sneaker limited avec approche écoresponsable,"Liège, Cuir Apple"
Adidas,Stan Smith Sustainable,148,lifestyle,Terra Green/Earth Brown,https://via.placeholder.com/400x400/2D5A27/8B4513?text=Adidas+Stan Smith,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Déchets plastiques"
Allbirds,Court Eco,153,sustainable,Terra Green/Stone White,https://via.placeholder.com/400x400/2D5A27/F5F5F0?text=Allbirds+Court,Sneaker sustainable avec approche écoresponsable,"Algues marines, Cuir Apple"
Nike,Air Force Eco,227,limited,Stone White/Clay Orange,https://via.placeholder.com/400x400/F5F5F0/D4725B?text=Nike+Air Force,Sneaker limited avec approche écoresponsable,"Déchets plastiques, Liège"
Puma,Future Rider Sustainable,142,limited,Urban Black/Urban Black,https://via.placeholder.com/400x400/1A1A1A/1A1A1A?text=Puma+Future Rider,Sneaker limited avec approche écoresponsable,"Chanvre, Liège"
Puma,Suede Eco,244,sustainable,Ocean Blue/Desert Sand,https://via.placeholder.com/400x400/4682B4/EDC9AF?text=Puma+Suede,Sneaker sustainable avec approche écoresponsable,"Déchets plastiques, Liège"
Vans,Old Skool Recycled,246,lifestyle,Ocean Blue/Earth Brown,https://via.placeholder.com/400x400/4682B4/8B4513?text=Vans+Old Skool,Sneaker lifestyle avec approche écoresponsable,"Coton bio, Déchets plastiques"
Nike,Air Max Natural,241,limited,Ocean Blue/Earth Brown,https://via.placeholder.com/400x400/4682B4/8B4513?text=Nike+Air Max,Sneaker limited avec approche écoresponsable,"Caoutchouc naturel, Coton bio"
Converse,Runner Sustainable,146,lifestyle,Urban Black/Clay Orange,https://via.placeholder.com/400x400/1A1A1A/D4725B?text=Converse+Runner,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Liège"
Nike,Air Force Sustainable,88,limited,Terra Green/Sage Green,https://via.placeholder.com/400x400/2D5A27/9CAF88?text=Nike+Air Force,Sneaker limited avec approche écoresponsable,"Matériaux recyclés, Matériaux recyclés"
Nike,Air Force Bio,145,sustainable,Terra Green/Stone White,https://via.placeholder.com/400x400/2D5A27/F5F5F0?text=Nike+Air Force,Sneaker sustainable avec approche écoresponsable,"Liège, Algues marines"
Adidas,Gazelle Ocean,130,limited,Earth Brown/Earth Brown,https://via.placeholder.com/400x400/8B4513/8B4513?text=Adidas+Gazelle,Sneaker limited avec approche écoresponsable,"Chanvre, Caoutchouc naturel"
Converse,Runner Recycled,211,sustainable,Desert Sand/Sage Green,https://via.placeholder.com/400x400/EDC9AF/9CAF88?text=Converse+Runner,Sneaker sustainable avec approche écoresponsable,"Coton bio, Chanvre"
Adidas,Gazelle Eco,191,performance,Terra Green/Earth Brown,https://via.placeholder.com/400x400/2D5A27/8B4513?text=Adidas+Gazelle,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Algues marines"
Nike,React Eco,186,lifestyle,Desert Sand/Clay Orange,https://via.placeholder.com/400x400/EDC9AF/D4725B?text=Nike+React,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Caoutchouc naturel"
Allbirds,Court Natural,128,limited,Urban Black/Clay Orange,https://via.placeholder.com/400x400/1A1A1A/D4725B?text=Allbirds+Court,Sneaker limited avec approche écoresponsable,"Déchets plastiques, Cuir Apple"
Converse,Classic Eco,110,lifestyle,Clay Orange/Terra Green,https://via.placeholder.com/400x400/D4725B/2D5A27?text=Converse+Classic,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Matériaux recyclés"
Reebok,Runner Ocean,110,performance,Sage Green/Desert Sand,https://via.placeholder.com/400x400/9CAF88/EDC9AF?text=Reebok+Runner,Sneaker performance avec approche écoresponsable,"Algues marines, Ocean Plastic"
Adidas,Superstar Ocean,169,limited,Sage Green/Urban Black,https://via.placeholder.com/400x400/9CAF88/1A1A1A?text=Adidas+Superstar,Sneaker limited avec approche écoresponsable,"Ocean Plastic, Déchets plastiques"
Converse,Classic Sustainable,97,performance,Stone White/Earth Brown,https://via.placeholder.com/400x400/F5F5F0/8B4513?text=Converse+Classic,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Coton bio"
Adidas,NMD Eco,173,performance,Sage Green/Sage Green,https://via.placeholder.com/400x400/9CAF88/9CAF88?text=Adidas+NMD,Sneaker performance avec approche écoresponsable,"Matériaux recyclés, Déchets plastiques"
Vans,Old Skool Eco,172,lifestyle,Ocean Blue/Stone White,https://via.placeholder.com/400x400/4682B4/F5F5F0?text=Vans+Old Skool,Sneaker lifestyle avec approche écoresponsable,"Matériaux recyclés, Algues marines"
New Balance,2002R Bio,92,performance,Sage Green/Urban Black,https://via.placeholder.com/400x400/9CAF88/1A1A1A?text=New Balance+2002R,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Ocean Plastic"
Allbirds,Classic Natural,226,performance,Terra Green/Clay Orange,https://via.placeholder.com/400x400/2D5A27/D4725B?text=Allbirds+Classic,Sneaker performance avec approche écoresponsable,"Coton bio, Cuir Apple"
Converse,Court Bio,84,performance,Ocean Blue/Clay Orange,https://via.placeholder.com/400x400/4682B4/D4725B?text=Converse+Court,Sneaker performance avec approche écoresponsable,"Caoutchouc naturel, Liège"
New Balance,2002R Recycled,183,limited,Sage Green/Urban Black,https://via.placeholder.com/400x400/9CAF88/1A1A1A?text=New Balance+2002R,Sneaker limited avec approche écoresponsable,"Algues marines, Liège"
Allbirds,Runner Ocean,176,sustainable,Ocean Blue/Urban Black,https://via.placeholder.com/400x400/4682B4/1A1A1A?text=Allbirds+Runner,Sneaker sustainable avec approche écoresponsable,"Liège, Matériaux recyclés"
Veja,Runner Sustainable,163,limited,Desert Sand/Terra Green,https://via.placeholder.com/400x400/EDC9AF/2D5A27?text=Veja+Runner,Sneaker limited avec approche écoresponsable,"Matériaux recyclés, Déchets plastiques"
Vans,Era Ocean,108,performance,Stone White/Desert Sand,https://via.placeholder.com/400x400/F5F5F0/EDC9AF?text=Vans+Era,Sneaker performance avec approche écoresponsable,"Liège, Ocean Plastic"
Veja,Classic Eco,163,lifestyle,Earth Brown/Earth Brown,https://via.placeholder.com/400x400/8B4513/8B4513?text=Veja+Classic,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Ocean Plastic"
Veja,Runner Natural,231,lifestyle,Desert Sand/Desert Sand,https://via.placeholder.com/400x400/EDC9AF/EDC9AF?text=Veja+Runner,Sneaker lifestyle avec approche écoresponsable,"Matériaux recyclés, Matériaux recyclés"
Allbirds,Runner Recycled,133,sustainable,Desert Sand/Earth Brown,https://via.placeholder.com/400x400/EDC9AF/8B4513?text=Allbirds+Runner,Sneaker sustainable avec approche écoresponsable,"Cuir Apple, Liège"
Nike,React Natural,243,performance,Desert Sand/Stone White,https://via.placeholder.com/400x400/EDC9AF/F5F5F0?text=Nike+React,Sneaker performance avec approche écoresponsable,"Cuir Apple, Algues marines"
Vans,Era Sustainable,116,sustainable,Stone White/Ocean Blue,https://via.placeholder.com/400x400/F5F5F0/4682B4?text=Vans+Era,Sneaker sustainable avec approche écoresponsable,"Matériaux recyclés, Ocean Plastic"
Puma,Future Rider Natural,212,lifestyle,Stone White/Ocean Blue,https://via.placeholder.com/400x400/F5F5F0/4682B4?text=Puma+Future Rider,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Ocean Plastic"
Nike,Dunk Bio,148,lifestyle,Stone White/Stone White,https://via.placeholder.com/400x400/F5F5F0/F5F5F0?text=Nike+Dunk,Sneaker lifestyle avec approche écoresponsable,"Chanvre, Liège"
New Balance,990 Ocean,205,sustainable,Clay Orange/Sage Green,https://via.placeholder.com/400x400/D4725B/9CAF88?text=New Balance+990,Sneaker sustainable avec approche écoresponsable,"Ocean Plastic, Matériaux recyclés"
Veja,Court Natural,96,limited,Clay Orange/Desert Sand,https://via.placeholder.com/400x400/D4725B/EDC9AF?text=Veja+Court,Sneaker limited avec approche écoresponsable,"Algues marines, Matériaux recyclés"
Vans,Authentic Ocean,196,lifestyle,Clay Orange/Ocean Blue,https://via.placeholder.com/400x400/D4725B/4682B4?text=Vans+Authentic,Sneaker lifestyle avec approche écoresponsable,"Matériaux recyclés, Caoutchouc naturel"
Vans,Old Skool Sustainable,96,lifestyle,Desert Sand/Ocean Blue,https://via.placeholder.com/400x400/EDC9AF/4682B4?text=Vans+Old Skool,Sneaker lifestyle avec approche écoresponsable,"Chanvre, Cuir Apple"
Reebok,Court Natural,144,lifestyle,Stone White/Terra Green,https://via.placeholder.com/400x400/F5F5F0/2D5A27?text=Reebok+Court,Sneaker lifestyle avec approche écoresponsable,"Chanvre, Caoutchouc naturel"
Veja,Classic Bio,104,performance,Desert Sand/Clay Orange,https://via.placeholder.com/400x400/EDC9AF/D4725B?text=Veja+Classic,Sneaker performance avec approche écoresponsable,"Matériaux recyclés, Cuir Apple"
Vans,Slip-On Sustainable,152,performance,Urban Black/Ocean Blue,https://via.placeholder.com/400x400/1A1A1A/4682B4?text=Vans+Slip-On,Sneaker performance avec approche écoresponsable,"Algues marines, Matériaux recyclés"
Vans,Old Skool Ocean,133,lifestyle,Earth Brown/Ocean Blue,https://via.placeholder.com/400x400/8B4513/4682B4?text=Vans+Old Skool,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Coton bio"
Reebok,Classic Eco,221,limited,Clay Orange/Earth Brown,https://via.placeholder.com/400x400/D4725B/8B4513?text=Reebok+Classic,Sneaker limited avec approche écoresponsable,"Déchets plastiques, Cuir Apple"
New Balance,327 Eco,245,limited,Clay Orange/Desert Sand,https://via.placeholder.com/400x400/D4725B/EDC9AF?text=New Balance+327,Sneaker limited avec approche écoresponsable,"Matériaux recyclés, Liège"
Nike,Blazer Recycled,130,lifestyle,Stone White/Sage Green,https://via.placeholder.com/400x400/F5F5F0/9CAF88?text=Nike+Blazer,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Ocean Plastic"
Vans,Sk8-Hi Natural,103,lifestyle,Desert Sand/Urban Black,https://via.placeholder.com/400x400/EDC9AF/1A1A1A?text=Vans+Sk8-Hi,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Cuir Apple"
Converse,Court Bio,180,lifestyle,Desert Sand/Clay Orange,https://via.placeholder.com/400x400/EDC9AF/D4725B?text=Converse+Court,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Déchets plastiques"
Adidas,NMD Sustainable,242,lifestyle,Sage Green/Clay Orange,https://via.placeholder.com/400x400/9CAF88/D4725B?text=Adidas+NMD,Sneaker lifestyle avec approche écoresponsable,"Coton bio, Caoutchouc naturel"
Puma,Clyde Bio,227,lifestyle,Stone White/Sage Green,https://via.placeholder.com/400x400/F5F5F0/9CAF88?text=Puma+Clyde,Sneaker lifestyle avec approche écoresponsable,"Déchets plastiques, Liège"
Puma,Clyde Ocean,173,lifestyle,Stone White/Sage Green,https://via.placeholder.com/400x400/F5F5F0/9CAF88?text=Puma+Clyde,Sneaker lifestyle avec approche écoresponsable,"Déchets plastiques, Chanvre"
Converse,Court Ocean,115,lifestyle,Clay Orange/Urban Black,https://via.placeholder.com/400x400/D4725B/1A1A1A?text=Converse+Court,Sneaker lifestyle avec approche écoresponsable,"Matériaux recyclés, Ocean Plastic"
Vans,Authentic Natural,191,limited,Desert Sand/Ocean Blue,https://via.placeholder.com/400x400/EDC9AF/4682B4?text=Vans+Authentic,Sneaker limited avec approche écoresponsable,"Algues marines, Matériaux recyclés"
Converse,Runner Natural,244,performance,Terra Green/Urban Black,https://via.placeholder.com/400x400/2D5A27/1A1A1A?text=Converse+Runner,Sneaker performance avec approche écoresponsable,"Matériaux recyclés, Algues marines"
