brand,name,price,category,colors,image_url,description,materials
Converse,Runner Natural,183,lifestyle,Earth Brown/Urban Black,https://via.placeholder.com/400x400/8B4513/1A1A1A?text=Converse+Runner,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Caoutchouc naturel"
Adidas,Gazelle Bio,187,sustainable,Stone White/Sage Green,https://via.placeholder.com/400x400/F5F5F0/9CAF88?text=Adidas+Gazelle,Sneaker sustainable avec approche écoresponsable,"Déchets plastiques, Matériaux recyclés"
Reebok,Runner Bio,183,sustainable,Desert Sand/Ocean Blue,https://via.placeholder.com/400x400/EDC9AF/4682B4?text=Reebok+Runner,Sneaker sustainable avec approche écoresponsable,"Caoutchouc naturel, Liège"
Puma,Thunder Sustainable,225,sustainable,Clay Orange/Desert Sand,https://via.placeholder.com/400x400/D4725B/EDC9AF?text=Puma+Thunder,Sneaker sustainable avec approche écoresponsable,"Caoutchouc naturel, Chanvre"
Vans,Era Sustainable,166,sustainable,Urban Black/Clay Orange,https://via.placeholder.com/400x400/1A1A1A/D4725B?text=Vans+Era,Sneaker sustainable avec approche écoresponsable,"Matériaux recyclés, Chanvre"
Allbirds,Classic Bio,91,performance,Urban Black/Ocean Blue,https://via.placeholder.com/400x400/1A1A1A/4682B4?text=Allbirds+Classic,Sneaker performance avec approche écoresponsable,"Cuir Apple, Algues marines"
Nike,Blazer Natural,242,performance,Stone White/Clay Orange,https://via.placeholder.com/400x400/F5F5F0/D4725B?text=Nike+Blazer,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Matériaux recyclés"
Vans,Sk8-Hi Recycled,107,limited,Ocean Blue/Sage Green,https://via.placeholder.com/400x400/4682B4/9CAF88?text=Vans+Sk8-Hi,Sneaker limited avec approche écoresponsable,"Matériaux recyclés, Matériaux recyclés"
Adidas,NMD Bio,116,sustainable,Desert Sand/Stone White,https://via.placeholder.com/400x400/EDC9AF/F5F5F0?text=Adidas+NMD,Sneaker sustainable avec approche écoresponsable,"Caoutchouc naturel, Algues marines"
New Balance,990 Eco,182,sustainable,Stone White/Urban Black,https://via.placeholder.com/400x400/F5F5F0/1A1A1A?text=New Balance+990,Sneaker sustainable avec approche écoresponsable,"Matériaux recyclés, Liège"
Puma,Suede Eco,155,performance,Clay Orange/Ocean Blue,https://via.placeholder.com/400x400/D4725B/4682B4?text=Puma+Suede,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Caoutchouc naturel"
Veja,Court Bio,80,performance,Sage Green/Desert Sand,https://via.placeholder.com/400x400/9CAF88/EDC9AF?text=Veja+Court,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Chanvre"
Vans,Era Recycled,181,limited,Earth Brown/Urban Black,https://via.placeholder.com/400x400/8B4513/1A1A1A?text=Vans+Era,Sneaker limited avec approche écoresponsable,"Caoutchouc naturel, Algues marines"
Converse,Runner Recycled,233,sustainable,Terra Green/Sage Green,https://via.placeholder.com/400x400/2D5A27/9CAF88?text=Converse+Runner,Sneaker sustainable avec approche écoresponsable,"Ocean Plastic, Chanvre"
Converse,Classic Bio,171,performance,Stone White/Ocean Blue,https://via.placeholder.com/400x400/F5F5F0/4682B4?text=Converse+Classic,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Liège"
Nike,Dunk Eco,232,performance,Sage Green/Clay Orange,https://via.placeholder.com/400x400/9CAF88/D4725B?text=Nike+Dunk,Sneaker performance avec approche écoresponsable,"Matériaux recyclés, Ocean Plastic"
Veja,Classic Natural,159,lifestyle,Urban Black/Desert Sand,https://via.placeholder.com/400x400/1A1A1A/EDC9AF?text=Veja+Classic,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Cuir Apple"
Converse,Court Natural,124,sustainable,Ocean Blue/Earth Brown,https://via.placeholder.com/400x400/4682B4/8B4513?text=Converse+Court,Sneaker sustainable avec approche écoresponsable,"Liège, Déchets plastiques"
Puma,Suede Eco,84,limited,Ocean Blue/Clay Orange,https://via.placeholder.com/400x400/4682B4/D4725B?text=Puma+Suede,Sneaker limited avec approche écoresponsable,"Algues marines, Algues marines"
Reebok,Classic Natural,243,limited,Sage Green/Earth Brown,https://via.placeholder.com/400x400/9CAF88/8B4513?text=Reebok+Classic,Sneaker limited avec approche écoresponsable,"Ocean Plastic, Coton bio"
Adidas,Ultraboost Eco,162,performance,Terra Green/Clay Orange,https://via.placeholder.com/400x400/2D5A27/D4725B?text=Adidas+Ultraboost,Sneaker performance avec approche écoresponsable,"Matériaux recyclés, Ocean Plastic"
Puma,RS-X Bio,95,lifestyle,Sage Green/Sage Green,https://via.placeholder.com/400x400/9CAF88/9CAF88?text=Puma+RS-X,Sneaker lifestyle avec approche écoresponsable,"Coton bio, Caoutchouc naturel"
Converse,Court Natural,197,lifestyle,Stone White/Stone White,https://via.placeholder.com/400x400/F5F5F0/F5F5F0?text=Converse+Court,Sneaker lifestyle avec approche écoresponsable,"Liège, Algues marines"
Vans,Authentic Bio,193,performance,Clay Orange/Desert Sand,https://via.placeholder.com/400x400/D4725B/EDC9AF?text=Vans+Authentic,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Chanvre"
Reebok,Classic Ocean,120,performance,Urban Black/Clay Orange,https://via.placeholder.com/400x400/1A1A1A/D4725B?text=Reebok+Classic,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Cuir Apple"
Reebok,Runner Ocean,199,sustainable,Sage Green/Clay Orange,https://via.placeholder.com/400x400/9CAF88/D4725B?text=Reebok+Runner,Sneaker sustainable avec approche écoresponsable,"Ocean Plastic, Caoutchouc naturel"
New Balance,997 Sustainable,135,sustainable,Sage Green/Earth Brown,https://via.placeholder.com/400x400/9CAF88/8B4513?text=New Balance+997,Sneaker sustainable avec approche écoresponsable,"Liège, Caoutchouc naturel"
Converse,Court Eco,136,sustainable,Stone White/Desert Sand,https://via.placeholder.com/400x400/F5F5F0/EDC9AF?text=Converse+Court,Sneaker sustainable avec approche écoresponsable,"Ocean Plastic, Caoutchouc naturel"
New Balance,327 Natural,166,limited,Earth Brown/Sage Green,https://via.placeholder.com/400x400/8B4513/9CAF88?text=New Balance+327,Sneaker limited avec approche écoresponsable,"Liège, Ocean Plastic"
Puma,Clyde Eco,174,sustainable,Terra Green/Earth Brown,https://via.placeholder.com/400x400/2D5A27/8B4513?text=Puma+Clyde,Sneaker sustainable avec approche écoresponsable,"Cuir Apple, Coton bio"
Adidas,Superstar Natural,90,performance,Stone White/Desert Sand,https://via.placeholder.com/400x400/F5F5F0/EDC9AF?text=Adidas+Superstar,Sneaker performance avec approche écoresponsable,"Algues marines, Matériaux recyclés"
Nike,React Recycled,167,lifestyle,Sage Green/Clay Orange,https://via.placeholder.com/400x400/9CAF88/D4725B?text=Nike+React,Sneaker lifestyle avec approche écoresponsable,"Cuir Apple, Déchets plastiques"
New Balance,2002R Ocean,246,lifestyle,Ocean Blue/Ocean Blue,https://via.placeholder.com/400x400/4682B4/4682B4?text=New Balance+2002R,Sneaker lifestyle avec approche écoresponsable,"Cuir Apple, Ocean Plastic"
Vans,Slip-On Bio,113,performance,Sage Green/Ocean Blue,https://via.placeholder.com/400x400/9CAF88/4682B4?text=Vans+Slip-On,Sneaker performance avec approche écoresponsable,"Cuir Apple, Algues marines"
Nike,Blazer Bio,125,limited,Terra Green/Ocean Blue,https://via.placeholder.com/400x400/2D5A27/4682B4?text=Nike+Blazer,Sneaker limited avec approche écoresponsable,"Coton bio, Ocean Plastic"
Reebok,Court Ocean,129,sustainable,Desert Sand/Clay Orange,https://via.placeholder.com/400x400/EDC9AF/D4725B?text=Reebok+Court,Sneaker sustainable avec approche écoresponsable,"Liège, Caoutchouc naturel"
Nike,Dunk Sustainable,212,lifestyle,Desert Sand/Earth Brown,https://via.placeholder.com/400x400/EDC9AF/8B4513?text=Nike+Dunk,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Déchets plastiques"
Converse,Court Recycled,110,lifestyle,Earth Brown/Ocean Blue,https://via.placeholder.com/400x400/8B4513/4682B4?text=Converse+Court,Sneaker lifestyle avec approche écoresponsable,"Liège, Coton bio"
New Balance,990 Recycled,233,lifestyle,Urban Black/Stone White,https://via.placeholder.com/400x400/1A1A1A/F5F5F0?text=New Balance+990,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Algues marines"
Nike,Dunk Recycled,161,lifestyle,Ocean Blue/Sage Green,https://via.placeholder.com/400x400/4682B4/9CAF88?text=Nike+Dunk,Sneaker lifestyle avec approche écoresponsable,"Matériaux recyclés, Matériaux recyclés"
Nike,Air Max Ocean,183,lifestyle,Clay Orange/Ocean Blue,https://via.placeholder.com/400x400/D4725B/4682B4?text=Nike+Air Max,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Déchets plastiques"
Nike,React Eco,139,performance,Sage Green/Earth Brown,https://via.placeholder.com/400x400/9CAF88/8B4513?text=Nike+React,Sneaker performance avec approche écoresponsable,"Algues marines, Ocean Plastic"
Nike,Air Force Eco,185,sustainable,Terra Green/Terra Green,https://via.placeholder.com/400x400/2D5A27/2D5A27?text=Nike+Air Force,Sneaker sustainable avec approche écoresponsable,"Coton bio, Ocean Plastic"
Converse,Classic Eco,227,performance,Clay Orange/Earth Brown,https://via.placeholder.com/400x400/D4725B/8B4513?text=Converse+Classic,Sneaker performance avec approche écoresponsable,"Coton bio, Matériaux recyclés"
Converse,Court Eco,181,lifestyle,Ocean Blue/Sage Green,https://via.placeholder.com/400x400/4682B4/9CAF88?text=Converse+Court,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Cuir Apple"
Converse,Court Eco,177,performance,Sage Green/Clay Orange,https://via.placeholder.com/400x400/9CAF88/D4725B?text=Converse+Court,Sneaker performance avec approche écoresponsable,"Liège, Coton bio"
Vans,Authentic Bio,225,sustainable,Urban Black/Sage Green,https://via.placeholder.com/400x400/1A1A1A/9CAF88?text=Vans+Authentic,Sneaker sustainable avec approche écoresponsable,"Matériaux recyclés, Liège"
Adidas,Ultraboost Bio,215,sustainable,Desert Sand/Stone White,https://via.placeholder.com/400x400/EDC9AF/F5F5F0?text=Adidas+Ultraboost,Sneaker sustainable avec approche écoresponsable,"Matériaux recyclés, Liège"
Reebok,Runner Natural,92,lifestyle,Terra Green/Stone White,https://via.placeholder.com/400x400/2D5A27/F5F5F0?text=Reebok+Runner,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Ocean Plastic"
Vans,Sk8-Hi Eco,114,sustainable,Ocean Blue/Ocean Blue,https://via.placeholder.com/400x400/4682B4/4682B4?text=Vans+Sk8-Hi,Sneaker sustainable avec approche écoresponsable,"Caoutchouc naturel, Ocean Plastic"
Converse,Runner Sustainable,232,sustainable,Terra Green/Earth Brown,https://via.placeholder.com/400x400/2D5A27/8B4513?text=Converse+Runner,Sneaker sustainable avec approche écoresponsable,"Algues marines, Liège"
Reebok,Runner Recycled,108,performance,Stone White/Urban Black,https://via.placeholder.com/400x400/F5F5F0/1A1A1A?text=Reebok+Runner,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Chanvre"
Puma,Clyde Natural,221,performance,Desert Sand/Clay Orange,https://via.placeholder.com/400x400/EDC9AF/D4725B?text=Puma+Clyde,Sneaker performance avec approche écoresponsable,"Chanvre, Cuir Apple"
Puma,Thunder Ocean,85,lifestyle,Sage Green/Ocean Blue,https://via.placeholder.com/400x400/9CAF88/4682B4?text=Puma+Thunder,Sneaker lifestyle avec approche écoresponsable,"Liège, Matériaux recyclés"
Allbirds,Classic Recycled,129,lifestyle,Desert Sand/Terra Green,https://via.placeholder.com/400x400/EDC9AF/2D5A27?text=Allbirds+Classic,Sneaker lifestyle avec approche écoresponsable,"Déchets plastiques, Déchets plastiques"
Puma,RS-X Recycled,95,performance,Clay Orange/Sage Green,https://via.placeholder.com/400x400/D4725B/9CAF88?text=Puma+RS-X,Sneaker performance avec approche écoresponsable,"Liège, Coton bio"
Veja,Classic Eco,237,lifestyle,Sage Green/Stone White,https://via.placeholder.com/400x400/9CAF88/F5F5F0?text=Veja+Classic,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Chanvre"
Allbirds,Classic Bio,206,lifestyle,Clay Orange/Desert Sand,https://via.placeholder.com/400x400/D4725B/EDC9AF?text=Allbirds+Classic,Sneaker lifestyle avec approche écoresponsable,"Déchets plastiques, Chanvre"
Reebok,Court Eco,237,limited,Clay Orange/Clay Orange,https://via.placeholder.com/400x400/D4725B/D4725B?text=Reebok+Court,Sneaker limited avec approche écoresponsable,"Liège, Algues marines"
Puma,Suede Eco,171,performance,Earth Brown/Clay Orange,https://via.placeholder.com/400x400/8B4513/D4725B?text=Puma+Suede,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Caoutchouc naturel"
Vans,Era Sustainable,225,lifestyle,Sage Green/Terra Green,https://via.placeholder.com/400x400/9CAF88/2D5A27?text=Vans+Era,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Déchets plastiques"
New Balance,990 Eco,235,lifestyle,Sage Green/Desert Sand,https://via.placeholder.com/400x400/9CAF88/EDC9AF?text=New Balance+990,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Caoutchouc naturel"
Veja,Runner Bio,229,lifestyle,Sage Green/Clay Orange,https://via.placeholder.com/400x400/9CAF88/D4725B?text=Veja+Runner,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Matériaux recyclés"
Vans,Sk8-Hi Recycled,181,limited,Sage Green/Ocean Blue,https://via.placeholder.com/400x400/9CAF88/4682B4?text=Vans+Sk8-Hi,Sneaker limited avec approche écoresponsable,"Matériaux recyclés, Déchets plastiques"
Converse,Runner Bio,147,performance,Terra Green/Sage Green,https://via.placeholder.com/400x400/2D5A27/9CAF88?text=Converse+Runner,Sneaker performance avec approche écoresponsable,"Caoutchouc naturel, Déchets plastiques"
Adidas,Stan Smith Eco,237,performance,Terra Green/Desert Sand,https://via.placeholder.com/400x400/2D5A27/EDC9AF?text=Adidas+Stan Smith,Sneaker performance avec approche écoresponsable,"Caoutchouc naturel, Caoutchouc naturel"
New Balance,574 Natural,130,performance,Desert Sand/Urban Black,https://via.placeholder.com/400x400/EDC9AF/1A1A1A?text=New Balance+574,Sneaker performance avec approche écoresponsable,"Liège, Algues marines"
Adidas,Gazelle Ocean,96,performance,Earth Brown/Sage Green,https://via.placeholder.com/400x400/8B4513/9CAF88?text=Adidas+Gazelle,Sneaker performance avec approche écoresponsable,"Liège, Caoutchouc naturel"
Converse,Runner Eco,100,limited,Earth Brown/Desert Sand,https://via.placeholder.com/400x400/8B4513/EDC9AF?text=Converse+Runner,Sneaker limited avec approche écoresponsable,"Coton bio, Liège"
Reebok,Court Natural,224,lifestyle,Terra Green/Sage Green,https://via.placeholder.com/400x400/2D5A27/9CAF88?text=Reebok+Court,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Déchets plastiques"
Nike,React Bio,208,sustainable,Desert Sand/Ocean Blue,https://via.placeholder.com/400x400/EDC9AF/4682B4?text=Nike+React,Sneaker sustainable avec approche écoresponsable,"Liège, Matériaux recyclés"
New Balance,997 Ocean,87,sustainable,Ocean Blue/Stone White,https://via.placeholder.com/400x400/4682B4/F5F5F0?text=New Balance+997,Sneaker sustainable avec approche écoresponsable,"Cuir Apple, Cuir Apple"
Allbirds,Runner Ocean,175,limited,Sage Green/Terra Green,https://via.placeholder.com/400x400/9CAF88/2D5A27?text=Allbirds+Runner,Sneaker limited avec approche écoresponsable,"Coton bio, Caoutchouc naturel"
Vans,Old Skool Bio,160,limited,Earth Brown/Terra Green,https://via.placeholder.com/400x400/8B4513/2D5A27?text=Vans+Old Skool,Sneaker limited avec approche écoresponsable,"Ocean Plastic, Cuir Apple"
Adidas,Gazelle Eco,167,lifestyle,Ocean Blue/Clay Orange,https://via.placeholder.com/400x400/4682B4/D4725B?text=Adidas+Gazelle,Sneaker lifestyle avec approche écoresponsable,"Déchets plastiques, Caoutchouc naturel"
Converse,Runner Bio,177,lifestyle,Clay Orange/Sage Green,https://via.placeholder.com/400x400/D4725B/9CAF88?text=Converse+Runner,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Cuir Apple"
Nike,Blazer Ocean,213,sustainable,Clay Orange/Earth Brown,https://via.placeholder.com/400x400/D4725B/8B4513?text=Nike+Blazer,Sneaker sustainable avec approche écoresponsable,"Chanvre, Ocean Plastic"
Vans,Sk8-Hi Natural,129,sustainable,Desert Sand/Stone White,https://via.placeholder.com/400x400/EDC9AF/F5F5F0?text=Vans+Sk8-Hi,Sneaker sustainable avec approche écoresponsable,"Chanvre, Liège"
Allbirds,Classic Eco,193,sustainable,Terra Green/Terra Green,https://via.placeholder.com/400x400/2D5A27/2D5A27?text=Allbirds+Classic,Sneaker sustainable avec approche écoresponsable,"Caoutchouc naturel, Matériaux recyclés"
Vans,Sk8-Hi Sustainable,113,performance,Earth Brown/Desert Sand,https://via.placeholder.com/400x400/8B4513/EDC9AF?text=Vans+Sk8-Hi,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Liège"
Adidas,Superstar Natural,164,performance,Ocean Blue/Terra Green,https://via.placeholder.com/400x400/4682B4/2D5A27?text=Adidas+Superstar,Sneaker performance avec approche écoresponsable,"Matériaux recyclés, Coton bio"
Reebok,Runner Bio,190,performance,Clay Orange/Clay Orange,https://via.placeholder.com/400x400/D4725B/D4725B?text=Reebok+Runner,Sneaker performance avec approche écoresponsable,"Chanvre, Cuir Apple"
Veja,Classic Bio,134,limited,Stone White/Earth Brown,https://via.placeholder.com/400x400/F5F5F0/8B4513?text=Veja+Classic,Sneaker limited avec approche écoresponsable,"Algues marines, Déchets plastiques"
New Balance,990 Eco,198,lifestyle,Clay Orange/Clay Orange,https://via.placeholder.com/400x400/D4725B/D4725B?text=New Balance+990,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Ocean Plastic"
New Balance,2002R Bio,89,limited,Earth Brown/Clay Orange,https://via.placeholder.com/400x400/8B4513/D4725B?text=New Balance+2002R,Sneaker limited avec approche écoresponsable,"Matériaux recyclés, Chanvre"
Veja,Court Recycled,82,performance,Ocean Blue/Sage Green,https://via.placeholder.com/400x400/4682B4/9CAF88?text=Veja+Court,Sneaker performance avec approche écoresponsable,"Cuir Apple, Ocean Plastic"
Veja,Court Ocean,82,sustainable,Urban Black/Terra Green,https://via.placeholder.com/400x400/1A1A1A/2D5A27?text=Veja+Court,Sneaker sustainable avec approche écoresponsable,"Coton bio, Cuir Apple"
Puma,Clyde Eco,199,performance,Earth Brown/Clay Orange,https://via.placeholder.com/400x400/8B4513/D4725B?text=Puma+Clyde,Sneaker performance avec approche écoresponsable,"Liège, Cuir Apple"
Veja,Classic Natural,94,performance,Desert Sand/Terra Green,https://via.placeholder.com/400x400/EDC9AF/2D5A27?text=Veja+Classic,Sneaker performance avec approche écoresponsable,"Algues marines, Matériaux recyclés"
Adidas,Stan Smith Natural,213,limited,Stone White/Clay Orange,https://via.placeholder.com/400x400/F5F5F0/D4725B?text=Adidas+Stan Smith,Sneaker limited avec approche écoresponsable,"Ocean Plastic, Cuir Apple"
Adidas,Stan Smith Sustainable,85,limited,Terra Green/Ocean Blue,https://via.placeholder.com/400x400/2D5A27/4682B4?text=Adidas+Stan Smith,Sneaker limited avec approche écoresponsable,"Chanvre, Ocean Plastic"
Allbirds,Classic Recycled,223,limited,Ocean Blue/Stone White,https://via.placeholder.com/400x400/4682B4/F5F5F0?text=Allbirds+Classic,Sneaker limited avec approche écoresponsable,"Liège, Matériaux recyclés"
Allbirds,Classic Eco,194,performance,Clay Orange/Earth Brown,https://via.placeholder.com/400x400/D4725B/8B4513?text=Allbirds+Classic,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Chanvre"
New Balance,574 Recycled,224,limited,Desert Sand/Stone White,https://via.placeholder.com/400x400/EDC9AF/F5F5F0?text=New Balance+574,Sneaker limited avec approche écoresponsable,"Matériaux recyclés, Ocean Plastic"
Veja,Runner Natural,165,limited,Earth Brown/Earth Brown,https://via.placeholder.com/400x400/8B4513/8B4513?text=Veja+Runner,Sneaker limited avec approche écoresponsable,"Déchets plastiques, Coton bio"
Reebok,Classic Recycled,190,performance,Terra Green/Urban Black,https://via.placeholder.com/400x400/2D5A27/1A1A1A?text=Reebok+Classic,Sneaker performance avec approche écoresponsable,"Cuir Apple, Liège"
Allbirds,Court Bio,144,performance,Ocean Blue/Desert Sand,https://via.placeholder.com/400x400/4682B4/EDC9AF?text=Allbirds+Court,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Algues marines"
Converse,Classic Recycled,237,lifestyle,Sage Green/Clay Orange,https://via.placeholder.com/400x400/9CAF88/D4725B?text=Converse+Classic,Sneaker lifestyle avec approche écoresponsable,"Chanvre, Déchets plastiques"
Adidas,NMD Ocean,155,lifestyle,Stone White/Stone White,https://via.placeholder.com/400x400/F5F5F0/F5F5F0?text=Adidas+NMD,Sneaker lifestyle avec approche écoresponsable,"Liège, Déchets plastiques"
Nike,Air Max Bio,234,limited,Clay Orange/Ocean Blue,https://via.placeholder.com/400x400/D4725B/4682B4?text=Nike+Air Max,Sneaker limited avec approche écoresponsable,"Déchets plastiques, Caoutchouc naturel"
Reebok,Runner Ocean,195,lifestyle,Desert Sand/Sage Green,https://via.placeholder.com/400x400/EDC9AF/9CAF88?text=Reebok+Runner,Sneaker lifestyle avec approche écoresponsable,"Déchets plastiques, Coton bio"
Adidas,Ultraboost Recycled,104,lifestyle,Ocean Blue/Terra Green,https://via.placeholder.com/400x400/4682B4/2D5A27?text=Adidas+Ultraboost,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Liège"
